EmployeeID,FirstName,LastName,Email,Gender,Age,Department,JobTitle,Salary,HireDate,Location
1001,Mary,Wiley,mary.wiley@corp.com,Other,52,Customer Service,Customer Service Rep,97747,2021-04-02,San Francisco
1002,John,Green,john.green@corp.com,Female,29,Customer Service,Call Center Operator,56549,2018-01-16,Austin
1003,Lori,Hoffman,lori.hoffman@corp.com,Male,48,Finance,Financial Analyst,73315,2014-11-18,Seattle
1004,April,Juarez,april.juarez@corp.com,Female,49,IT,System Administrator,97431,2018-07-16,San Francisco
1005,Amanda,Deleon,amanda.deleon@corp.com,Other,45,Operations,Operations Manager,112844,2022-03-13,Chicago
1006,Heather,Johnson,heather.johnson@corp.com,Other,51,Marketing,SEO Specialist,76251,2013-03-09,San Francisco
1007,Amanda,Holland,amanda.holland@corp.com,Other,32,Finance,Accountant,84271,2017-07-17,Boston
1008,Micheal,Scott,micheal.scott@corp.com,Male,28,Operations,Inventory Specialist,90908,2020-08-06,Seattle
1009,Monique,Ramirez,monique.ramirez@corp.com,Female,39,Customer Service,Support Agent,64524,2021-05-23,Denver
1010,Brittany,Williams,brittany.williams@corp.com,Male,32,Marketing,Content Strategist,98183,2011-04-12,Boston
1011,Angela,Lindsey,angela.lindsey@corp.com,Female,38,Finance,Payroll Specialist,98026,2021-08-30,San Francisco
1012,Tanner,Wiggins,tanner.wiggins@corp.com,Female,24,HR,HR Manager,54620,2015-11-22,Denver
1013,Amy,Brown,amy.brown@corp.com,Other,55,HR,HR Assistant,118983,2025-02-11,Austin
1014,Kristen,Hicks,kristen.hicks@corp.com,Female,57,Operations,Inventory Specialist,103620,2022-07-21,Seattle
1015,Anthony,Yates,anthony.yates@corp.com,Other,57,Sales,Account Manager,110719,2013-10-16,Boston
1016,Raymond,Edwards,raymond.edwards@corp.com,Female,47,Finance,Payroll Specialist,78428,2024-10-22,Denver
1017,Jeffrey,Fox,jeffrey.fox@corp.com,Female,59,Operations,Operations Manager,77358,2011-02-21,New York
1018,Elaine,Watts,elaine.watts@corp.com,Other,60,Finance,Financial Analyst,85108,2020-01-13,Chicago
1019,Laura,Sims,laura.sims@corp.com,Other,33,Sales,Sales Analyst,43515,2020-02-14,Denver
